 tiempo ave_magnetization ave_absmagnetization ave_energy
         501   10.2399998       71.3600006      -368.079987    
         502   5.11999989       71.1200027      -361.679993    
         503   7.88000011       66.1200027      -362.399994    
         504   8.76000023       65.5599976      -358.239990    
         505   10.7600002       64.3600006      -364.880005    
         506   13.1999998       66.5599976      -365.760010    
         507   13.7200003       71.5599976      -359.760010    
         508   13.3999996       70.2799988      -357.200012    
         509   13.4399996       69.8399963      -366.799988    
         510   20.3199997       65.9199982      -357.119995    
         511   18.5200005       63.3199997      -356.320007    
         512   18.8400002       63.3199997      -361.760010    
         513   15.9200001       61.4399986      -363.760010    
         514   15.3999996       64.5999985      -357.519989    
         515   16.8400002       66.4400024      -363.200012    
         516   14.6400003       64.8000031      -349.760010    
         517   13.1199999       62.7200012      -358.480011    
         518   6.23999977       60.0000000      -364.640015    
         519   4.63999987       64.4000015      -363.359985    
         520   1.44000006       60.5600014      -361.519989    
         521 -0.720000029       59.9199982      -359.440002    
         522  -3.11999989       62.0800018      -362.160004    
         523  -3.20000005       65.6800003      -364.239990    
         524  -4.76000023       69.4800034      -358.239990    
         525  -2.75999999       71.2399979      -359.839996    
         526  -1.96000004       74.1999969      -367.519989    
         527  -1.67999995       76.0000000      -359.760010    
         528  -11.3599997       75.0400009      -364.959991    
         529  -7.36000013       73.2799988      -370.239990    
         530  -10.6400003       71.5199966      -364.000000    
         531  -20.2399998       69.5999985      -358.640015    
         532  -18.5200005       69.8799973      -359.920013    
         533  -15.3599997       62.1599998      -357.679993    
         534  -15.6000004       63.0400009      -361.600006    
         535  -13.0799999       66.1999969      -362.559998    
         536  -11.3599997       64.8000031      -370.320007    
         537  -11.3599997       64.4000015      -366.959991    
         538  -10.1199999       68.3600006      -362.480011    
         539  -10.5600004       68.8799973      -362.720001    
         540  -7.15999985       65.7200012      -362.000000    
         541  -12.1199999       68.1200027      -361.200012    
         542  -4.00000000       69.1200027      -363.600006    
         543  -3.11999989       64.7200012      -359.040009    
         544  -6.40000010       61.4399986      -360.079987    
         545  -10.5600004       59.2000008      -356.399994    
         546  -4.32000017       60.8800011      -366.239990    
         547 -0.239999995       62.5600014      -364.000000    
         548  -2.07999992       63.9199982      -355.119995    
         549  -3.68000007       59.1199989      -359.279999    
         550  -1.48000002       60.0400009      -363.679993    
         551  -5.15999985       58.2799988      -360.160004    
         552  -6.63999987       62.0800018      -358.079987    
         553  -12.4399996       63.3199997      -362.480011    
         554  -17.9200001       67.1999969      -359.119995    
         555  -17.9599991       66.3600006      -360.799988    
         556  -14.5600004       61.7599983      -358.239990    
         557  -16.0000000       62.7999992      -357.760010    
         558  -13.3199997       59.7999992      -349.440002    
         559  -15.7600002       61.0400009      -346.720001    
         560  -11.3599997       60.5600014      -345.279999    
         561  -18.4799995       65.9199982      -358.239990    
         562  -20.3999996       70.9599991      -358.640015    
         563  -17.1200008       66.8000031      -353.679993    
         564  -12.6000004       67.8799973      -360.320007    
         565  -12.0799999       67.2799988      -364.799988    
         566  -12.1199999       70.2799988      -362.959991    
         567  -7.84000015       69.1200027      -353.200012    
         568  -10.2399998       70.1600037      -362.640015    
         569  -13.3599997       73.7600021      -364.160004    
         570  -12.1999998       68.3600006      -357.600006    
         571  -9.19999981       65.2799988      -353.119995    
         572  -7.28000021       72.4000015      -362.799988    
         573  -5.55999994       65.8799973      -364.160004    
         574  -2.00000000       66.8799973      -364.880005    
         575   1.91999996       61.5200005      -363.040009    
         576   5.55999994       63.9599991      -363.600006    
         577   5.00000000       63.4000015      -366.000000    
