 tiempo ave_magnetization ave_absmagnetization ave_energy
           1 -0.439999998       26.5200005      -199.600006    
         613  -11.3599997       394.079987      -793.440002    
         614  -11.1599998       394.119995      -793.919983    
         615  -11.1999998       394.079987      -794.080017    
         616  -11.4399996       394.079987      -793.359985    
         617  -10.8000002       394.160004      -793.039978    
         618  -11.3999996       394.760010      -794.799988    
         619  -11.4799995       394.600006      -794.320007    
         620  -11.2799997       394.559998      -793.840027    
         621  -10.9200001       393.959991      -792.479980    
         622  -11.1199999       393.839996      -792.719971    
         623  -11.7600002       394.480011      -793.520020    
         624  -11.8000002       394.600006      -794.000000    
         625  -11.2799997       394.480011      -793.760010    
         626  -11.3599997       394.640015      -794.000000    
         627  -11.0400000       394.320007      -793.599976    
