 Temperature,Magnetization,Magnetization^2,Suceptibility,Cumulant,Average
   1.56938791     ,  0.98225313720703122      ,  0.96453571252077819      ,  -1.8192636790018881E-004 ,  0.66676132311101033      ,           1
   1.48571444     ,  0.98761713867187495      ,  0.97509740855395799      ,  -1.9532962934500550E-004 ,  0.66676346004074838      ,           1
   1.40204072     ,  0.99160738525390624      ,  0.98299170370846989      ,  -2.0933969891898259E-004 ,  0.66676474620946369      ,           1
   1.31836748     ,  0.99460488281250004      ,  0.98894314639568326      ,  -2.2431266558988174E-004 ,  0.66676534829854905      ,           1
   1.23469377     ,  0.99662703857421875      ,  0.99296809978634115      ,  -2.4083238040342687E-004 ,  0.66676591724737366      ,           1
   1.15102053     ,  0.99812030029296872      ,  0.99594565234035248      ,  -2.5931902903427660E-004 ,  0.66676623242533495      ,           1
   1.06734705     ,  0.99907979736328123      ,  0.99786124305576085      ,  -2.8031974111972772E-004 ,  0.66676642313656309      ,           1
  0.983673573     ,  0.99965362548828129      ,  0.99900775761753324      ,  -3.0458613374320117E-004 ,  0.66676651799002173      ,           1
  0.900000095     ,   1.0000150634765625      ,  0.99973024366497998      ,  -3.3320388575437692E-004 ,  0.66676658928708921      ,           1
   5.00000000     ,   3.4934082031250001E-004 ,   1.7202158570289611E-004 ,   3.4379909851132469E-005 ,  -1.5803769518634381E-002 ,           2
   4.91632652     ,   1.0660400390625000E-004 ,   1.6258843094110490E-004 ,   3.3068810200667579E-005 ,  -4.3891414521161076E-002 ,           2
   4.83265305     ,   6.4517822265625004E-004 ,   1.8201128691434861E-004 ,   3.7576674617712524E-005 ,   2.3693577208594885E-002 ,           2
   4.74897957     ,   7.2204589843750000E-004 ,   1.9050949513912201E-004 ,   4.0006099528485513E-005 ,   6.5997928267313988E-003 ,           2
   4.66530609     ,   2.1578369140625001E-004 ,   1.8903590887784958E-004 ,   4.0509528439560808E-005 ,   4.7486648576773760E-002 ,           2
   4.58163261     ,   2.6352539062499998E-004 ,   2.0312992036342620E-004 ,   4.4320549111271497E-005 ,  -1.5567414972548210E-003 ,           2
   4.49795914     ,   2.6953125000000000E-005 ,   2.0025520026683807E-004 ,   4.4521184416118264E-005 ,   6.6079334067757789E-002 ,           2
   4.41428566     ,   1.1441040039062501E-003 ,   2.1020075529813766E-004 ,   4.7321761903769496E-005 ,  -1.1653372678015472E-002 ,           2
   4.33061218     ,   3.1877441406250002E-004 ,   2.0968293249607085E-004 ,   4.8395309132841273E-005 ,   8.4693702198865850E-003 ,           2
   4.24693871     ,   3.6687011718749998E-004 ,   2.1241814792156220E-004 ,   4.9985076127409420E-005 ,   4.0590893252730575E-002 ,           2
   4.16326523     ,   4.2946777343750003E-004 ,   2.4393950700759886E-004 ,   5.8549010718517482E-005 ,  -2.3363205453471592E-002 ,           2
