 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
        7144 , -0.31350097656249998      ,   9.8460119962692258E-002 ,   1.1078603565693387E-003
        7145 , -0.31181640625000001      ,   9.7460997104644773E-002 ,   1.4470368623733035E-003
        7146 , -0.31269531249999999      ,   9.7910761833190918E-002 ,   8.2752108573917391E-004
        7147 , -0.31411132812499998      ,   9.8916530609130859E-002 ,   1.5662759542465869E-003
        7148 , -0.31408691406250000      ,   9.8832458257675171E-002 ,   1.1366792023181915E-003
        7149 , -0.31721191406249999      ,  0.10074924826622009      ,   7.8656151890751577E-004
        7150 , -0.31579589843750000      ,   9.9860388040542605E-002 ,   8.3336606621743983E-004
        7151 , -0.31669921875000001      ,  0.10041989088058471      ,   7.5934827327723414E-004
        7152 , -0.31550292968749999      ,   9.9667090177536014E-002 ,   7.8119710087785205E-004
        7153 , -0.31176757812500000      ,   9.7390389442443853E-002 ,   1.1960417032242168E-003
        7154 , -0.31186523437500002      ,   9.7550880908966062E-002 ,   1.8184781074522850E-003
        7155 , -0.30944824218750000      ,   9.5882326364517212E-002 ,   7.7569857239723206E-004
        7156 , -0.31264648437499998      ,   9.7937881946563721E-002 ,   1.1878609657288083E-003
        7157 , -0.31770019531249999      ,  0.10107144713401794      ,   8.6270645260812934E-004
        7158 , -0.31647949218749999      ,  0.10031539797782899      ,   9.7580626606946774E-004
        7159 , -0.31806640624999999      ,  0.10146738290786743      ,   1.8821507692337418E-003
        7160 , -0.31708984374999999      ,  0.10070283412933349      ,   9.8040699958801616E-004
        7161 , -0.31196289062499999      ,   9.7519063949584955E-002 ,   1.2388676404953211E-003
        7162 , -0.31569824218749998      ,   9.9752825498580930E-002 ,   5.4653361439708018E-004
        7163 , -0.31394042968750002      ,   9.8667103052139285E-002 ,   6.7818537354460279E-004
        7164 , -0.31650390625000002      ,  0.10034953355789185      ,   1.0925680398940485E-003
        7165 , -0.31391601562499999      ,   9.8688507080078119E-002 ,   9.0776383876800884E-004
        7166 , -0.31406250000000002      ,   9.8797166347503657E-002 ,   1.0119527578352806E-003
        7167 , -0.30988769531249999      ,   9.6270793676376337E-002 ,   1.5025623142718957E-003
        7168 , -0.31174316406250002      ,   9.7347360849380490E-002 ,   1.0222531855104931E-003
        7169 , -0.31318359374999999      ,   9.8443508148193359E-002 ,   2.2471547126770575E-003
        7170 , -0.31674804687500002      ,  0.10056958198547364      ,   1.5016049146651667E-003
        7171 , -0.31665039062500000      ,  0.10066624879837036      ,   2.4923682212829243E-003
        7172 , -0.31220703124999999      ,   9.7709560394287104E-002 ,   1.4770627021789412E-003
        7173 , -0.31335449218750000      ,   9.8287373781204224E-002 ,   6.0210004448890686E-004
        7174 , -0.31801757812499998      ,  0.10129957199096680      ,   1.0274499654770904E-003
        7175 , -0.31777343749999998      ,  0.10122894048690796      ,   1.5561431646347879E-003
        7176 , -0.31572265625000001      ,   9.9761259555816648E-002 ,   5.0289928913106394E-004
        7177 , -0.31235351562500002      ,   9.7654485702514643E-002 ,   5.6104362010939851E-004
        7178 , -0.30905761718750002      ,   9.5594066381454471E-002 ,   4.8409774899473706E-004
        7179 , -0.31430664062500002      ,   9.8878335952758786E-002 ,   5.6044757366169665E-004
        7180 , -0.31176757812500000      ,   9.7419393062591550E-002 ,   1.3773143291473215E-003
        7181 , -0.31269531249999999      ,   9.7981035709381104E-002 ,   1.2667328119278336E-003
        7182 , -0.31430664062500002      ,   9.8974621295928961E-002 ,   1.1622309684752863E-003
        7183 , -0.30949707031250001      ,   9.6002560853958127E-002 ,   1.3382770121097252E-003
        7184 , -0.30979003906250002      ,   9.6108835935592649E-002 ,   8.6854770779600660E-004
        7185 , -0.31171874999999999      ,   9.7287476062774658E-002 ,   7.4310600757599224E-004
        7186 , -0.30781249999999999      ,   9.4874739646911621E-002 ,   7.8877806663517000E-004
        7187 , -0.31120605468750001      ,   9.6967297792434695E-002 ,   7.3805823922155900E-004
        7188 , -0.31264648437499998      ,   9.7894632816314692E-002 ,   9.1755390167237716E-004
        7189 , -0.31142578124999998      ,   9.7150027751922607E-002 ,   1.0250657796860227E-003
        7190 , -0.31481933593750000      ,   9.9273699522018435E-002 ,   1.0155327618122274E-003
        7191 , -0.31201171875000000      ,   9.7591590881347653E-002 ,   1.5017390251159494E-003
        7192 , -0.31665039062500000      ,  0.10049329996109009      ,   1.4114379882812673E-003
        7193 , -0.31506347656250000      ,   9.9416357278823850E-002 ,   9.4601884484289342E-004
        7194 , -0.30981445312500000      ,   9.6109139919281009E-002 ,   7.7590346336366481E-004
        7195 , -0.31123046874999999      ,   9.6933519840240484E-002 ,   4.3196976184855726E-004
        7196 , -0.31298828125000000      ,   9.8108601570129392E-002 ,   9.1835856437681371E-004
        7197 , -0.31384277343750000      ,   9.8633915185928345E-002 ,   8.5392966866493225E-004
        7198 , -0.31508789062499998      ,   9.9543774127960200E-002 ,   1.6462206840515275E-003
        7199 , -0.31420898437500000      ,   9.8889064788818357E-002 ,   1.0111182928085154E-003
        7200 , -0.31152343750000000      ,   9.7156834602355954E-002 ,   6.8739056587217504E-004
        7201 , -0.31489257812499999      ,   9.9342119693756101E-002 ,   1.1548995971680243E-003
        7202 , -0.31198730468750002      ,   9.7430449724197385E-002 ,   5.8982148766510353E-004
        7203 , -0.31052246093750002      ,   9.6493619680404666E-002 ,   4.3388083577145312E-004
        7204 , -0.31140136718750000      ,   9.7025674581527707E-002 ,   3.4289434552190953E-004
        7205 , -0.31247558593750002      ,   9.7695010900497439E-002 ,   3.3761933445923195E-004
        7206 , -0.31013183593749999      ,   9.6265655755996701E-002 ,   5.2437558770183565E-004
        7207 , -0.31765136718749998      ,  0.10102621912956238      ,   7.7392533421524745E-004
        7208 , -0.31530761718750000      ,   9.9508625268936154E-002 ,   5.6082382798193151E-004
        7209 , -0.31755371093750001      ,  0.10089660286903382      ,   3.5152211785311610E-004
        7210 , -0.31660156249999999      ,  0.10035730600357055      ,   7.5472891330717606E-004
        7211 , -0.31853027343750001      ,  0.10151169896125793      ,   3.1352415680880458E-004
        7212 , -0.31630859374999998      ,  0.10013384819030761      ,   5.1701068878176951E-004
        7213 , -0.31682128906250001      ,  0.10042186379432679      ,   2.8834119439125408E-004
        7214 , -0.31975097656250001      ,  0.10241078734397888      ,   1.0631270706652936E-003
        7215 , -0.31933593750000000      ,  0.10207557678222656      ,   6.2584877014160156E-004
        7216 , -0.31728515624999998      ,  0.10084904432296753      ,   1.1198371648789458E-003
        7217 , -0.31672363281249999      ,  0.10041254162788391      ,   6.1676278710369112E-004
        7218 , -0.31447753906249998      ,   9.8923403024673465E-002 ,   1.7050281167036926E-004
        7219 , -0.31459960937499998      ,   9.9049174785614008E-002 ,   4.7662854194647705E-004
