Temperatura MagneticField Magnetization Magnetization2
0.6 0.17425 0.2825674 0.07990064
0.6 0.176725 0.286332 0.08204205
0.6 0.1792 0.2900821 0.08420332
0.6 0.181675 0.2938708 0.08641587
0.6 0.18415 0.2976402 0.08864509
0.6 0.186625 0.3014011 0.0908981
0.6 0.1891 0.3051242 0.09315613
0.6 0.191575 0.3088541 0.09544606
0.6 0.19405 0.3125658 0.09775252
0.6 0.196525 0.3163135 0.1001089
0.6 0.199 0.3199766 0.1024401
0.7 0.002475 0.003594016 7.445449e-05
0.7 0.00495 0.007054034 0.0001107208
0.7 0.007425 0.01062407 0.000174288
0.7 0.0099 0.01418928 0.0002623522
0.7 0.012375 0.01766833 0.0003732689
0.7 0.01485 0.02122199 0.0005108272
0.7 0.017325 0.02471544 0.0006717243
0.7 0.0198 0.02827255 0.0008603459
0.7 0.022275 0.03182844 0.001073797
0.7 0.02475 0.03534774 0.001309917
0.7 0.027225 0.03891151 0.001574715
0.7 0.0297 0.04238991 0.001858143
0.7 0.032175 0.04596353 0.002173459
0.7 0.03465 0.04941845 0.002503019
0.7 0.037125 0.05297536 0.002867555
0.7 0.0396 0.05655849 0.003259971
0.7 0.042075 0.06004378 0.003666019
0.7 0.04455 0.06359864 0.004105448
0.7 0.047025 0.06705627 0.004557731
0.7 0.0495 0.07061946 0.00504779
0.7 0.051975 0.07409865 0.005551416
0.7 0.05445 0.07762208 0.006085741
0.7 0.056925 0.08114918 0.006646135
0.7 0.0594 0.08466078 0.007227419
0.7 0.061875 0.08816015 0.007832758
0.7 0.06435 0.09162083 0.008454888
0.7 0.066825 0.09510676 0.009105654
0.7 0.0693 0.09868308 0.00979871
0.7 0.071775 0.102199 0.01050568
0.7 0.07425 0.1056855 0.01122979
0.7 0.076725 0.1091661 0.01197805
0.7 0.0792 0.1127088 0.0127638
0.7 0.081675 0.1161603 0.01355296
0.7 0.08415 0.1196789 0.01438387
0.7 0.086625 0.1231316 0.0152216
0.7 0.0891 0.1266049 0.01608883
0.7 0.091575 0.1301322 0.01699457
0.7 0.09405 0.1335549 0.01789713
0.7 0.096525 0.1369593 0.0188181
0.7 0.099 0.1405214 0.01980543
0.7 0.102475 0.1453516 0.02118723
0.7 0.10495 0.1488514 0.02221677
0.7 0.107425 0.1523047 0.02325667
0.7 0.1099 0.155761 0.02432087
0.7 0.112375 0.1591717 0.02539518
0.7 0.11485 0.1626281 0.02650733
0.7 0.117325 0.1660968 0.02764758
0.7 0.1198 0.1694844 0.02878357
0.7 0.122275 0.1729537 0.02997229
0.7 0.12475 0.1763117 0.03114526
0.7 0.127225 0.1798029 0.03238849
0.7 0.1297 0.183161 0.03360703
0.7 0.132175 0.1866047 0.03488043
0.7 0.13465 0.1900431 0.03617518
0.7 0.137125 0.1934274 0.03747284
0.7 0.1396 0.1968734 0.03881773
0.7 0.142075 0.2002779 0.04017014
0.7 0.14455 0.203623 0.04152127
0.7 0.147025 0.2069943 0.04290495
0.7 0.1495 0.2103835 0.04431952
0.7 0.151975 0.2137282 0.0457381
0.7 0.15445 0.2171703 0.04722096
0.7 0.156925 0.2204732 0.04866643
0.7 0.1594 0.2238399 0.05016264
0.7 0.161875 0.2272327 0.05169203
0.7 0.16435 0.230559 0.05321537
0.7 0.166825 0.2339092 0.05477129
0.7 0.1693 0.2372431 0.05634213
0.7 0.171775 0.240567 0.05792999
0.7 0.17425 0.2439417 0.05956498
0.7 0.176725 0.2472381 0.06118428
0.7 0.1792 0.2505502 0.06283249
0.7 0.181675 0.2538778 0.06451085
0.7 0.18415 0.2571376 0.06617691
0.7 0.186625 0.2604798 0.06790645
0.7 0.1891 0.2637539 0.06962289
0.7 0.191575 0.2670297 0.07136163
0.7 0.19405 0.270356 0.073149
0.7 0.196525 0.2736025 0.07491511
0.7 0.199 0.2768591 0.07670735
0.4 0.002475 0.00617499 9.936806e-05
0.4 0.00495 0.01236586 0.0002135176
0.4 0.007425 0.01862375 0.0004081939
0.4 0.0099 0.02474278 0.0006733377
0.4 0.012375 0.03093706 0.001017856
0.4 0.01485 0.03712505 0.001439464
0.4 0.017325 0.04326016 0.0019328
0.4 0.0198 0.04945359 0.002506343
0.4 0.022275 0.05562284 0.003155184
0.4 0.02475 0.06174609 0.003873255
0.4 0.027225 0.06793929 0.004676341
0.4 0.0297 0.07408318 0.005549125
0.4 0.032175 0.08022049 0.006496074
0.4 0.03465 0.08643699 0.007532212
0.4 0.037125 0.09253537 0.008623602
0.4 0.0396 0.09865667 0.009793565
0.4 0.042075 0.1047467 0.01103264
0.4 0.04455 0.1109373 0.01236769
0.4 0.047025 0.1170361 0.0137575
0.4 0.0495 0.1231255 0.01521998
0.4 0.051975 0.1292359 0.01676134
0.4 0.05445 0.135335 0.01837525
0.4 0.056925 0.1413254 0.02003242
0.4 0.0594 0.147384 0.02178152
0.4 0.061875 0.153473 0.02361323
0.4 0.06435 0.1594983 0.02549921
0.4 0.066825 0.1654965 0.02744846
0.4 0.0693 0.171516 0.02947733
0.4 0.071775 0.1775898 0.03159728
0.4 0.07425 0.1835141 0.03373656
0.4 0.076725 0.189508 0.03597203
0.4 0.0792 0.1954788 0.03827052
0.4 0.081675 0.2013726 0.04060902
0.4 0.08415 0.2073634 0.04305806
0.4 0.086625 0.2132361 0.04552789
0.4 0.0891 0.2191244 0.04807373
0.4 0.091575 0.224983 0.05067564
0.4 0.09405 0.230891 0.05336829
0.4 0.096525 0.2367562 0.05611104
0.4 0.099 0.2425449 0.05888492
0.4 0.102475 0.2507563 0.06293595
0.4 0.10495 0.2564911 0.0658446
0.4 0.107425 0.2622647 0.06883969
0.4 0.1099 0.2680441 0.07190463
0.4 0.112375 0.2737244 0.07498134
0.4 0.11485 0.2794855 0.07816847
0.4 0.117325 0.2851786 0.08138268
0.4 0.1198 0.2908542 0.08465173
0.4 0.122275 0.2964515 0.08793918
