 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
        3163 , -0.30133333333333329      ,   9.1824999999999990E-002 ,   1.2632374122805343E-003
        3164 , -0.30508333333333332      ,   9.4173958333333321E-002 ,   1.3557014114351732E-003
        3165 , -0.31316666666666665      ,   9.9229166666666702E-002 ,   1.4269205529259827E-003
        3166 , -0.30433333333333329      ,   9.3730000000000008E-002 ,   1.3718793962664583E-003
        3167 , -0.31125000000000003      ,   9.7947291666666644E-002 ,   1.3218879656617403E-003
        3168 , -0.31641666666666679      ,  0.10135520833333332      ,   1.5255573920796895E-003
        3169 , -0.32233333333333331      ,  0.10521749999999999      ,   1.6280522562331782E-003
        3170 , -0.32224999999999998      ,  0.10500020833333332      ,   1.4261060809815872E-003
        3171 , -0.30891666666666662      ,   9.6763541666666633E-002 ,   1.6469565787307116E-003
        3172 , -0.31483333333333330      ,  0.10131958333333331      ,   2.7155009027586999E-003
        3173 , -0.31316666666666665      ,  0.10083166666666664      ,   3.4053157726691573E-003
        3174 , -0.32300000000000001      ,  0.10645916666666667      ,   2.6298356009920470E-003
        3175 , -0.31958333333333333      ,  0.10422937500000000      ,   2.5874916332753236E-003
        3176 , -0.31200000000000000      ,   9.9099166666666683E-002 ,   2.1668726010521449E-003
        3177 , -0.30808333333333332      ,   9.6781041666666651E-002 ,   2.3033352319788451E-003
        3178 , -0.31016666666666665      ,   9.8103333333333306E-002 ,   2.3456449061400242E-003
        3179 , -0.30741666666666667      ,   9.6847291666666668E-002 ,   2.8917097645691750E-003
        3180 , -0.30583333333333329      ,   9.6192916666666670E-002 ,   3.2825791373518151E-003
        3181 , -0.30333333333333329      ,   9.3637916666666668E-002 ,   2.0084020808505024E-003
        3182 , -0.29608333333333337      ,   8.9602708333333336E-002 ,   2.3918126053006934E-003
        3183 , -0.30850000000000005      ,   9.6820833333333328E-002 ,   2.0352882284024945E-003
        3184 , -0.31116666666666676      ,   9.9265833333333317E-002 ,   3.0137519553865792E-003
        3185 , -0.30975000000000008      ,   9.8111875000000015E-002 ,   2.6750773741527926E-003
        3186 , -0.30441666666666667      ,   9.4513958333333301E-002 ,   2.2771006619822149E-003
        3187 , -0.30266666666666658      ,   9.3081666666666674E-002 ,   1.8204391028749387E-003
        3188 , -0.30658333333333326      ,   9.5460625000000007E-002 ,   1.8114627647094158E-003
        3189 , -0.30816666666666670      ,   9.6525416666666655E-002 ,   1.9243485761946625E-003
        3190 , -0.31358333333333344      ,   9.9790208333333325E-002 ,   1.7971623520444565E-003
        3191 , -0.31283333333333341      ,   9.8912083333333331E-002 ,   1.2930728056099001E-003
        3192 , -0.31175000000000003      ,   9.8582708333333324E-002 ,   1.7217851169431854E-003
        3193 , -0.30333333333333340      ,   9.3297916666666675E-002 ,   1.5886489609048991E-003
        3194 , -0.30558333333333337      ,   9.4322708333333324E-002 ,   1.1623886387935576E-003
        3195 , -0.30491666666666667      ,   9.4018541666666650E-002 ,   1.2893433814437614E-003
        3196 , -0.29608333333333342      ,   8.9167291666666648E-002 ,   1.8542611220370606E-003
        3197 , -0.30183333333333334      ,   9.2698749999999996E-002 ,   1.9696160695221606E-003
        3198 , -0.30199999999999999      ,   9.2594999999999997E-002 ,   1.7172840877771418E-003
        3199 , -0.30358333333333326      ,   9.3486041666666658E-002 ,   1.6335820920658300E-003
        3200 , -0.30258333333333348      ,   9.2574374999999973E-002 ,   1.2564215681145877E-003
        3201 , -0.30708333333333332      ,   9.5058541666666663E-002 ,   9.3625693348960745E-004
        3202 , -0.30041666666666672      ,   9.1285208333333298E-002 ,   1.2778207467785386E-003
        3203 , -0.30625000000000002      ,   9.4766874999999987E-002 ,   1.2071760223432962E-003
        3204 , -0.30749999999999988      ,   9.5372499999999985E-002 ,   1.0077161298692966E-003
        3205 , -0.31241666666666668      ,   9.8801458333333342E-002 ,   1.4781294047526152E-003
        3206 , -0.30608333333333332      ,   9.4937291666666673E-002 ,   1.5435615087441548E-003
        3207 , -0.31016666666666665      ,   9.7242083333333326E-002 ,   1.2823732162780359E-003
        3208 , -0.30474999999999997      ,   9.3763541666666658E-002 ,   1.0999743676906003E-003
        3209 , -0.29766666666666663      ,   8.9543333333333336E-002 ,   1.1578876096275314E-003
        3210 , -0.30466666666666659      ,   9.4134583333333341E-002 ,   1.6207477289008512E-003
        3211 , -0.30516666666666664      ,   9.4542916666666657E-002 ,   1.7484226362175404E-003
        3212 , -0.30724999999999997      ,   9.5398958333333311E-002 ,   1.2301184110070228E-003
        3213 , -0.30841666666666667      ,   9.6673124999999985E-002 ,   1.9164010446957138E-003
        3214 , -0.31283333333333324      ,   9.9435833333333334E-002 ,   1.9396777955261275E-003
        3215 , -0.30308333333333332      ,   9.2843541666666654E-002 ,   1.2148577787867839E-003
        3216 , -0.30716666666666659      ,   9.5305833333333298E-002 ,   1.1783608622915416E-003
        3217 , -0.30766666666666675      ,   9.5353333333333332E-002 ,   8.5747606299976743E-004
        3218 , -0.31008333333333327      ,   9.6806874999999987E-002 ,   8.0889066817283568E-004
        3219 , -0.31483333333333341      ,   9.9814166666666634E-002 ,   8.5696165966646322E-004
        3220 , -0.31766666666666665      ,  0.10199458333333332      ,   1.3363855662710034E-003
        3221 , -0.32358333333333339      ,  0.10557020833333335      ,   1.0667096188059816E-003
        3222 , -0.31441666666666662      ,  0.10007312499999999      ,   1.5003516287497535E-003
        3223 , -0.30591666666666673      ,   9.4692708333333334E-002 ,   1.3675326881002622E-003
        3224 , -0.31075000000000003      ,   9.7642291666666645E-002 ,   1.3292953736607693E-003
        3225 , -0.31466666666666665      ,  0.10002666666666669      ,   1.2488341189490959E-003
        3226 , -0.30949999999999994      ,   9.6614999999999993E-002 ,   1.0182099578678939E-003
        3227 , -0.30141666666666667      ,   9.2124791666666636E-002 ,   1.5713392887404922E-003
        3228 , -0.29991666666666672      ,   9.1411041666666679E-002 ,   1.8037467147103323E-003
        3229 , -0.30399999999999999      ,   9.4034166666666655E-002 ,   1.9977367850740626E-003
        3230 , -0.31149999999999994      ,   9.8383333333333350E-002 ,   1.6680042484502717E-003
        3231 , -0.31391666666666657      ,  0.10161020833333331      ,   3.7858456384531839E-003
        3232 , -0.31466666666666676      ,  0.10052541666666663      ,   1.8645749088690238E-003
        3233 , -0.31375000000000003      ,  0.10003812499999998      ,   1.9741513922437487E-003
        3234 , -0.30833333333333329      ,   9.6479166666666658E-002 ,   1.7403979442186079E-003
        3235 , -0.31383333333333335      ,   9.9673749999999992E-002 ,   1.4597394855883174E-003
        3236 , -0.31749999999999995      ,  0.10223041666666668      ,   1.7582305931052138E-003
        3237 , -0.31133333333333335      ,   9.7893333333333304E-002 ,   1.1912209456231360E-003
        3238 , -0.30941666666666673      ,   9.6778125000000007E-002 ,   1.2832734221112070E-003
        3239 , -0.30766666666666670      ,   9.6000416666666658E-002 ,   1.6563444395627854E-003
        3240 , -0.30033333333333340      ,   9.1282916666666672E-002 ,   1.3367970889375884E-003
        3241 , -0.30391666666666678      ,   9.2993958333333362E-002 ,   7.7607173551034678E-004
        3242 , -0.30425000000000002      ,   9.3543541666666646E-002 ,   1.2042953636770119E-003
        3243 , -0.30725000000000002      ,   9.5843958333333312E-002 ,   1.7795011709356931E-003
        3244 , -0.30366666666666664      ,   9.3356666666666616E-002 ,   1.4113855722612339E-003
        3245 , -0.30725000000000008      ,   9.5583541666666647E-002 ,   1.4579990876440326E-003
        3246 , -0.30591666666666661      ,   9.5246458333333325E-002 ,   2.0511747180116174E-003
        3247 , -0.30499999999999999      ,   9.4253333333333342E-002 ,   1.5164610264698810E-003
        3248 , -0.30658333333333332      ,   9.5335624999999979E-002 ,   1.6571417647293742E-003
        3249 , -0.31458333333333344      ,   9.9643541666666655E-002 ,   8.4057791350192852E-004
        3250 , -0.31124999999999997      ,   9.7547708333333344E-002 ,   8.2857516905916870E-004
