Size,Alfa,Temperatura,Susceptibility,SusceptMCError,AutoCorrelationTime,StdDevBlocking,EffTau,Energy,HeatCapacity,Mabs,SusceptAbs,Cumulant,aMabs,aSusceptAbs,aCumu
512,0.5,1.795,94.1126,0.612237,99.3468,7.23001,69.7281,-1.40838,1.10738,0.0202765,34.0696,0.0209101,0.000716281,1.58437e-07,-0.00277834
512,0.5,1.79,103.319,0.67276,88.0899,7.72852,65.9846,-1.41387,1.16773,0.0212202,37.3736,0.0137844,0.00060933,1.17587e-07,0.0599251
512,0.5,1.785,111.764,0.72913,80.1927,7.70126,55.7807,-1.42014,0.953233,0.0220832,40.1454,0.00487663,0.000689952,1.34373e-07,0.122502
512,0.5,1.78,132.498,0.837128,69.7654,8.89899,56.5024,-1.42635,1.28258,0.0241576,46.5522,0.0548868,0.000661112,1.47366e-07,-0.0890729
512,0.5,1.775,145.791,0.943018,63.2644,9.77901,53.7675,-1.43244,0.985743,0.0250686,52.9793,0.00889737,0.000669752,1.52046e-07,-0.0922384
512,0.5,1.77,170.689,1.09143,56.6658,10.5477,46.6977,-1.43922,1.24862,0.0271293,61.6844,0.0235568,0.000682021,1.44181e-07,0.0613631
512,0.5,1.765,191.223,1.24161,53.8595,11.3314,41.6453,-1.44531,1.2013,0.0285714,69.9793,-0.00921529,0.000695749,1.45769e-07,0.114056
512,0.5,1.76,214.763,1.36381,43.1071,10.456,29.3893,-1.4524,1.32012,0.0304531,76.6318,0.0244799,0.000731067,1.49583e-07,0.138378
512,0.5,1.755,243.278,1.5688,36.813,11.6377,27.5148,-1.45866,1.61832,0.0320941,89.4222,-0.00831195,0.000736662,1.59694e-07,0.0859489
512,0.5,1.75,299.148,1.90024,31.669,13.2933,24.4692,-1.46664,1.37263,0.0356749,108.502,0.0127841,0.000622996,1.32389e-07,-0.055715
512,0.5,1.745,360.695,2.27615,25.0515,15.3682,22.7936,-1.47413,1.45324,0.0392814,128.893,0.0186868,0.000669997,1.44764e-07,0.019838
512,0.5,1.65,97850.5,287.223,1.84907,10.7155,0.000695917,-1.65987,1.40595,0.784764,6.49699,0.666578,0.000562406,1.0933e-07,0.00121843
512,0.5,1.74,444.259,2.82876,20.9306,16.6836,17.3923,-1.48135,1.47718,0.0432624,162.283,-0.00284809,0.000679844,1.53322e-07,0.0196606
512,0.5,1.735,573.482,3.61861,15.8249,19.365,14.3192,-1.49035,1.6497,0.0492285,207.321,0.00749768,0.000666884,1.4667e-07,0.0126248
512,0.5,1.73,766.16,4.78863,12.1636,24.1957,12.7651,-1.49834,1.81106,0.0569275,275.096,0.0184608,0.000673134,1.47416e-07,0.0144136
